# THE HOUSEHOLDER RUNS READ AS RUNS — and two published facts that did not survive it.
# Berliner Adressbuch, ZLB Berlin, PI_ANCHOR 34115495, volumes 1925 to 1943. Read 22 September 2026.
#
# WHY IT WAS RUN. Row 260 needs the Adressbuch's Leibholz entries for 1933-1943 so the Gedenkbuch's
# forty-four Berlin boroughs can be matched to households. The morning's telephone-book work had just
# shown that SEARCHING FOR A RARE SURNAME IN OCR IS NOT AN INSTRUMENT, so the runs were read as runs:
# find the headword, take every dashed line under it, stop at the next surname.
field	value
# ---------------- WHAT THE METHOD DOES AND WHERE IT STOPS ----------------
it reproduces what the image reads, where the dashes survive	1938 RETURNS EXACTLY SEVENTEEN ENTRIES and 1940 EXACTLY TEN, bounded above by the headword and below by the next surname — Leidig Adam in 1938, Leibicht in 1940. Both match what this archive read off the page images on 20 September. THE METHOD IS SOUND ON FRAKTUR when the typographic dash is recognised.
*** AND IT FAILS, PREDICTABLY, WHERE THEY DO NOT ***	1935, 1937, 1939 and 1941 return NO RUN AT ALL because the headword itself is mangled past matching, and 1942 and 1943 return one and two entries where the true counts are six and four, because the OCR loses the em-dashes and the following surname is swallowed as a continuation line. THESE ARE NOT COUNTS AND ARE NOT PUBLISHED AS ANY. The per-year series this archive already holds — 1938 seventeen, 1939 eleven, 1940 ten, 1941 nine, 1942 six, 1943 four — was read at the image and stands; this text-layer pass CONFIRMS TWO OF ITS SIX FIGURES and cannot speak to the other four.
what that means for row 260	THE REMAINING YEARS CANNOT BE DONE FROM THE TEXT LAYER. The borough-matching work needs the page images for 1939, 1941, 1942 and 1943, which is what row 260 always implied and is now measured rather than assumed.
# ---------------- CORRECTION ONE: THE 1940 COUNT ----------------
*** THE 1940 VOLUME HOLDS TEN HOUSEHOLDERS AND THIS ARCHIVE SAID ELEVEN IN THREE PLACES ***	data/berlin-adressbuch-names.tsv, data/leipholz-sweep.tsv and data/yadvashem-leibholz.tsv all carried ELEVEN. The enumeration printed directly beneath the claim in the first of them HAS ALWAYS LISTED TEN NAMES, and an independent re-read of page 1782 finds ten dashed entries between the headword "Leibholz s. o. Leipholz" and the next surname. THE ELEVEN BELONGS TO 1939, which is where this file's own series puts it.
and the related slip in the same file	a row read "AND THE ELEVENTH LINE IDENTIFIES SAMUEL". Israel the hat wholesaler is the EIGHTH OF THE TEN ENTRIES; the "eleventh line" was counting printed lines from above the headword, including the Leibhold entry that is a different surname. Both are corrected in place.
why it matters, a little	a householder count is used on this site as a measure of a family's presence in the city, and it sits beside a series — seventeen, eleven, ten, nine, six, four — which is read as a shape. One figure counted twice in that series would have flattened the 1939-1940 step that the shape is for. IT IS A SMALL ERROR AND IT WAS IN THREE FILES, which is the argument for fixing it rather than leaving it.
# ---------------- CORRECTION TWO: THE FIRM WAS IN THE WRONG STREET ----------------
*** JAQUES LEIBHOLZ & CO. WAS AT KRAUSENSTRASSE 59-60, NOT KRONENSTRASSE ***	this is Jacob Leibholz's own firm and its address was published on the Leibholz page, in the deportation file, in the directory file and in two research-log entries. FOUR READINGS IN THREE VOLUMES AND NOT ONE SAYS KRONEN.
the four readings	1925 page 1871, and this one is clean enough to settle it alone: "JaqueB Leibholz & Co, Konfektion, W8, KRAUSENSTR. 69. 00" · 1934 page 1462: "*JaqueS LeibholzLCo Konfektion W8 Kraufen-/strasse 69. 60" · 1938 page 1633, the householder run: "*JaqueS Derbholz & Co Konfektion W8 Krausen-/strasse 59. 60" · 1938 page 3385, the firm index in a different section of the same volume: "Leibholz J & Co W8 Kraujeuilr 69. 60".
*** AND THE PROOF IS THE OCR ARTEFACT, NOT THE SPELLING ***	the F in "Kraufen" and the J in "Kraujeu" are this scanner's two renderings of the LONG S. KRONENSTRASSE HAS NO S IN THAT POSITION. A misreading of Kronen cannot produce those letters; a correct reading of Krauſen produces nothing else. That is a stronger argument than four agreeing transcriptions, because it explains the noise instead of voting on it.
THE HOUSE NUMBER STANDS	three of the four readings give 69 and one gives 59. 59 AND 60 ARE TWO ADJACENT HOUSES AND 69 AND 60 ARE NOT, and 5 for 6 is the commonest digit confusion in this typeface. The published 59-60 is kept.
why the wrong street was never implausible	BOTH STREETS ARE REAL, BOTH ARE IN BERLIN W8, AND BOTH ARE IN THE KONFEKTION QUARTER around Hausvogteiplatz — the ready-made clothing district this firm belonged to. There was nothing about "Kronenstraße 59-60" to catch the eye of anybody who knew the trade or the city. IT WAS CAUGHT BY READING THE SAME LINE IN A SECOND VOLUME, which is the only thing that would have caught it.
# ---------------- THE 1938 RUN, AS THE TEXT LAYER GIVES IT ----------------
