# THE OTHER AUSTRALIAN INSTRUMENTS — WHAT EACH ONE CAN AND CANNOT HOLD. 20 September 2026.
#
# Manfred Joachim Luwinski died at BRISBANE on 20 SEPTEMBER 2012 — fourteen years ago to the day.
# This file is the honest accounting of four free instruments tried against that fact in one sitting:
# what they cover, what they returned, and which of the four failures are the archive's and which are
# the instrument's. NONE OF THEM PRODUCED HIM. Two of them cannot, by their own published coverage.
field	value
# ---------------- 1. QUEENSLAND BDM HISTORICAL INDEX — SEARCHED, AND IT CANNOT HOLD HIM ----------------
what it covers, in its own words	"Births between 1829 and 1926 · Marriages between 1829 and 1951 · DEATHS BETWEEN 1829 AND 1996". Queensland closes the free index at thirty years and the window moves forward one year at a time.
*** SO MANFRED IS SIXTEEN YEARS OUTSIDE IT ***	he died in 2012. THE INDEX IS NOT SILENT ABOUT HIM; IT DOES NOT REACH HIM. Item 7 of the twenty assumed otherwise, and the assumption was wrong before the first search was run.
and the twenty-item plan's reasoning still stands	a Queensland death certificate names the deceased's PARENTS, and Manfred's parents are exactly what the family tree gets wrong. The certificate is still the right document. It just cannot be reached through the free index, and a death registered within thirty years is issued only to people with a recognised entitlement.
what was searched anyway, exactly	family name EXACT, all three event types, no date limits: LUWINSKI · LUWINSKY · LOWINSKI · LOWINSKY · LUWENSKI · JUWINSKI · LUWWINSKY · LEIBHOLZ · LAIBHOLZ. And separately MARQUARDT with the given name HELGA.
the result	*** NOT ONE RECORD, IN ANY SPELLING, IN ANY EVENT TYPE, ACROSS THE WHOLE INDEX FROM 1829. *** No Luwinski has ever been born, married or died in Queensland inside the window the state publishes.
AND THE CONTROL THAT MAKES THAT NEGATIVE WORTH ANYTHING	with exact matching switched on, LAWINSKI returns STEFAN LAWINSKI, died 11 July 1994, born 1919, registration 1994/6350, father Julian Lawinski, mother Franciszka Wludzik. THE HARNESS FINDS A POLISH SURNAME ONE LETTER AWAY FROM OURS. The zeroes are real zeroes.
one property of the instrument, measured in passing	with exact matching OFF it is heavily fuzzy — LUWINSKI returns Lawinski, Lubinski, Ludinski, Plewinski, Bulinski and Lubinskie. A loose search here is not a wider net, it is a different question, and the exact box has to be ticked for a negative to mean anything.
# ---------------- 2. THE RYERSON INDEX — THE RIGHT INSTRUMENT, AND IT WAS DOWN ----------------
why it is the right one	the Ryerson Index is a free index to DEATH, FUNERAL AND PROBATE NOTICES in Australian newspapers, and unlike the state register it runs right up to the present. A 2012 Brisbane funeral notice in the Courier-Mail is exactly what it indexes, and funeral notices name the survivors.
what happened	"Server Overloaded. Sorry, our server is feeling a bit overworked". Four attempts across ten minutes, all refused. NOTHING WAS SEARCHED, SO NOTHING IS RULED OUT. Retry.
# ---------------- 3. TROVE — ATTEMPTED, AND IT REFUSED THIS BROWSER ----------------
what happened	the search application hung on "Loading..." and its own configuration endpoint then began answering "No API key found in request" to this client. NOT A RESULT EITHER WAY.
and a point about what Trove is for here, which the twenty-item plan half made	copyright closes Australian NEWSPAPERS at 1954 and this family did not land until 1965, SO THE NEWSPAPERS CANNOT HOLD THEM AT ALL. What can is the COMMONWEALTH OF AUSTRALIA GAZETTE, which runs on past 1954 and carried naturalisations by name. The retry should go straight to the Gazette category and skip the newspapers entirely.
# ---------------- 4. THE ELECTORAL ROLLS — BLOCKED, AND IT IS A PURCHASE, NOT A WALL ----------------
item 8 of the twenty	Australian electoral rolls for 1965 to 1980 would give address and occupation year by year and would track the family from Melbourne to Canberra to Brisbane.
why it is not done	FAMILYSEARCH'S FREE AUSTRALIAN ELECTORAL ROLLS STOP AT 1949 and the family did not land until 1965. The 1903-1980 set is behind a subscription, and a subscription is a purchase this archive does not make on David's behalf. AN UNOPENED INSTRUMENT, NOT A NEGATIVE RESULT.
the free substitutes, in order of promise	the NAA files already found; the Ryerson Index when it is up; and Australian telephone directories at the State Library of Queensland, which are the same kind of book as the Berlin address books that have been this archive's most productive instrument of all.
# ---------------- 5. WHAT IS LEFT, AND WHO OWNS IT ----------------
mine	Ryerson, and Trove restricted to the Gazette category. Both free, both across every spelling.
David's	the Queensland death certificate, if an entitlement exists; and the NAA access-examination letter, which is free and drafted.
source	familyhistory.bdm.qld.gov.au and ryersonindex.org and trove.nla.gov.au, all tried 20 September 2026. Ten exact-match queries at Queensland with a positive control.
