# THE COMPENSATION FILES MOVED FOUR MONTHS AGO, AND NOBODY HAS ASKED FOR THEM.
# Read 20 September 2026 from the Landesarchiv Berlin's own page and from LABO's.
#
# THE TWENTY-ITEM PLAN CALLED THIS "THE LARGEST UNOPENED SEAM" AND GOT THE ADDRESSEE WRONG.
# It said the Entschädigungsakten were at the Landesarchiv Berlin in B Rep. 025. They were not.
# Until this year they were held by the ENTSCHÄDIGUNGSBEHÖRDE, a department of the LANDESAMT FÜR
# BÜRGER- UND ORDNUNGSANGELEGENHEITEN (LABO) — a live administrative authority, not an archive.
field	value
# ---------------- WHAT CHANGED, AND WHEN ----------------
*** 1 MAY 2026 ***	"Das Landesarchiv Berlin hat zum 1. Mai 2026 die Akten der Entschädigungsbehörde Berlin übernommen." FOUR AND A HALF MONTHS BEFORE THIS WAS READ.
the scale of it	the Senate resolved on 6 January 2026 to transfer the lot, stem files and subsidiary files together: ABOUT 280,000 PROCEEDINGS, FIFTEEN KILOMETRES OF PAPER. Preparations had run since the summer of 2022, under the federal project "Transformation der Wiedergutmachung" of the Bundesfinanzministerium. The Landesarchiv's main building could not hold it, so it took over the Entschädigungsbehörde's depot entire.
what did NOT move	ABOUT 860 STILL-OPEN PROCEEDINGS stay with the Entschädigungsbehörde, and access to those is applied for there. Nothing in this family is likely to be among them — first applications under the BEG have been inadmissible since 1969 — but it is the one case where the old addressee is still the right one.
# ---------------- THE PROCEDURE, IN THE ARCHIVE'S OWN WORDS ----------------
the minimum needed to ask	"mindestens den Namen und die LEBENSDATEN der geschädigten oder antragstellenden Person" — the name and the life dates. Helpful but not required: the Entschädigungsbehörde's own registry signature.
*** AND THIS ARCHIVE HAS THE LIFE DATES FOR THREE OF THEM ***	KURT ISRAEL LUWINSKI, born Berlin 11 May 1912, died Johannesburg 15 December 1968. AUGUSTE "LIZZY" LUWINSKI, later FRICKE, born Sauerbaum, Kreis Rössel, 28 August 1893, died Kraichtal 22 June 1975. SIEGFRIED, born Berlin-Schöneberg 5 August 1925. The threshold is met without any further work.
how to ask	by email to info@landesarchiv.berlin.de, or by post to the Landesarchiv Berlin, Eichborndamm 115-121, 13403 Berlin.
what happens then	the stem file is called up from the depot, which takes some days; the archive then checks whether the protection periods of § 8 Abs. 3 of the Berlin Archive Act have run, and if they have not, a SCHUTZFRISTVERKÜRZUNGSANTRAG — an application to shorten them — has to be made. ABOUT FOUR WEEKS FROM FIRST ENQUIRY TO SITTING DOWN WITH THE FILE.
*** AND THE PART THAT MATTERS MOST TO A FAMILY ABROAD ***	"Angehörige von NS-Verfolgten – oder von ihnen bevollmächtigte Personen – können im Rahmen der Aufarbeitung des Verfolgungsschicksals insgesamt BIS ZU ZEHN AKTEN PRO KALENDERJAHR durch das LAB KOSTENFREI DIGITALISIEREN LASSEN." TEN FILES A YEAR, SCANNED FREE, FOR RELATIVES — and the quota expressly covers Wiedergutmachungs- and Haftakten as well.
and the honest caveat on that	the concession is for ANGEHÖRIGE. This family's relationship to Kurt is the relationship of record: Derrick is his son on every document, and this archive has published at length the DNA result that puts that paternity in doubt. THE ARCHIVE WILL NOT CLAIM A STATUS IT HAS ITSELF QUESTIONED IN PRINT. The letter states the relationship exactly as the records state it and lets the Landesarchiv decide.
# ---------------- AND A SECOND INSTRUMENT NOBODY HAD HEARD OF ----------------
*** THE BUNDESZENTRALKARTEI ***	the Landesarchiv's own page says that where details are missing, "kann eine ergänzende Anfrage bei der BUNDESZENTRALKARTEI (BZK) sinnvoll sein", at bzk@brd.nrw.de, held by the BEZIRKSREGIERUNG DÜSSELDORF, with a Merkblatt at brd.nrw.de/document/20230201_1_15_BZK_Merkblatt_deutsch.pdf.
why it is worth a letter of its own	IT IS NATIONAL. Every western Bundesland ran its own Entschädigungsbehörde and § 185 BEG decides which one was competent in a given case. A central card index answers the prior question that no single Land's archive can: DID THIS PERSON EVER FILE A CLAIM AT ALL, AND IF SO, WHERE. For a man who left Berlin in 1933 and spent thirty-six years in Johannesburg, "where" is not obvious.
and it answers it for the whole family at once	Kurt, Auguste, Siegfried and the heirs of Jacob Leibholz can all go in one enquiry.
# ---------------- WHAT WOULD BE IN SUCH A FILE ----------------
why this is the richest single document the family could have	an Entschädigungsakte contains the applicant's OWN SWORN ACCOUNT — what he lost, when he left, where he lived in Berlin, what his trade was, what schooling he had, what happened to his parents — together with his foreign address at the time of filing and, usually, affidavits from people who knew him. IT IS AUTOBIOGRAPHY, TAKEN UNDER OATH, FROM PEOPLE THIS ARCHIVE OTHERWISE KNOWS ONLY FROM INDEX CARDS.
and the restitution side of it	"JAQUES LEIBHOLZ & CO, KONFEKTION, W8 KRONENSTRASSE 59.60" stands in the 1938 Berlin directory and is gone afterwards. A liquidated Jewish firm generates a property file at the WIEDERGUTMACHUNGSÄMTER VON BERLIN, which names the owners, the value, the purchaser who took it, and the post-war claimants — and the claimants are the surviving family, which is the list this archive most wants.
source	landesarchiv-berlin.de/akten-der-entschaedigungsbehoerde-berlin and berlin.de/labo/entschaedigung-ns-unrecht/index.php, both read 20 September 2026. Every quotation above is theirs.
