# THE NEWSPAPER HALF OF THE FINDMYPAST SUBSCRIPTION — TESTED 20 SEPTEMBER 2026, AND IT WILL NOT DO THIS JOB.
# Work-list row 108 lists seven priorities for the one-month subscription. Numbers 1, 2 and 5 are done.
# Number 3 is "BRITISH NEWSPAPER ARCHIVE — Hitchin and Letchworth titles, for Wear and Castle notices".
# This file records what happened when it was tried, because the answer is about the INSTRUMENT and the
# next person to reach for it should not spend the afternoon this one did.
field	value
*** THE SURNAME IS THE PROBLEM, AND IT IS NOT FIXABLE BY SEARCHING HARDER ***	"WEAR" IS ONE OF THE COMMONEST WORDS IN BRITISH NEWSPAPER ADVERTISING. A name search on Wear with the keyword Letchworth returns 9,442 articles, and the top hits are "MEN'S WEAR AT PUGH'S, Letchworth". Adding a full forename does not save it: "Martha Maud Wear" returns 285 articles whose top hits are a knitting joke ("Do you find the stockings wear longer?") and a Yorkshire sock advertisement.
the name field is an OCR match, not a name index	unlike the census and BMD sets, where Findmypast indexes a transcribed NAME FIELD, the newspaper name box matches strings anywhere in an OCR'd page. There is no surname index behind it. A surname that is also a common noun therefore cannot be isolated.
and the exact-keyword switch does not enforce a phrase	searching the keyword PIX ROAD with "exact keyword search" ticked returns 85,719 articles, including "9 Pix Road, Stotfold" and every separate use of the two words. IT IS NOT A PHRASE SEARCH. Recorded as a rule: on Findmypast newspapers, a two-word place name cannot be locked together from the search box.
and the filter parameters are not in the URL	the results page takes ?names= and ?keywords= and honours them. IT IGNORES ?countyOfPublication=, ?fromDate= and ?toDate= — a query with all five returned 20,426,315 articles, more than the unfiltered one. Filters must be set through the page's own controls, which means this set cannot be swept by constructing URLs the way the record sets can.
*** SO THE PRIORITY IS RE-SCOPED RATHER THAN ATTEMPTED ***	a newspaper sweep for this family has to be driven by STRINGS THAT ARE NOT ORDINARY ENGLISH, and by the filter panel rather than the address bar. The candidates, in order: SHENTON (the 63 Pix Road household), GIDDINS and GIDDINGS, WALLIS with Baldock, HULL with St Albans — and the ship names, WINDSOR CASTLE March 1937 and DUNVEGAN CASTLE August 1939, against the Hertfordshire titles, for a departure notice.
what is NOT worth trying again	the surname WEAR on its own, in any combination, with or without forenames. Four queries were run and every one of them returned advertising.
# ——— AND THE STATE OF ROW 108'S OTHER SIX PRIORITIES, CHECKED RATHER THAN ASSUMED ———
(1) BT27 OUTBOUND PASSENGER LISTS — DONE	data/wear-emigration-bt27.tsv. L A R Wear, 20, engineer, WINDSOR CASTLE, Southampton to Cape Town, 12 MARCH 1937 · H R Wear, 49, machine minder, DURBAN CASTLE, London to Cape, 5 APRIL 1939 · Mrs M Wear and three children, DUNVEGAN CASTLE, London to Durban, 10 AUGUST 1939. The row called this the highest-value target in the subscription and it was.
(2) THE 1939 REGISTER — DONE	data/wear-1939-register.tsv and data/shenton-1939-pix-road.tsv. The household is gone from Hertfordshire by 29 September 1939 and one daughter stayed.
(3) NEWSPAPERS — RE-SCOPED, see above	—
(4) ELECTORAL REGISTERS for 72 Pix Road — NOT DONE	and now largely redundant. The BT27 lists date the departure to the day from the other end; an electoral register would only bracket what three passenger lists already fix.
(5) PARISH BAPTISMS — DONE for the Castles	data/castle-baptisms-weston.tsv, worked to its coverage bound: Baldock coverage ends 1879. NOT DONE for the six Hitchin Wear children 1917-1936, and that is a real gap — a baptism register can name godparents and an address the GRO index cannot.
(6) THE CASTLE LINE — LARGELY DONE	1901 and 1911 at Baldock, the nine children, the Wallis spelling settled six to nothing, and James Giddins of Norton End proved as the three-times-great-grandfather.
(7) PROBATE AND WILLS — NOT DONE	and it belongs on the English side of the estate work rather than here.
source	Findmypast, https://www.findmypast.co.uk/search-newspapers/results, four queries run 20 September 2026 on a subscription taken 16 September and expiring about 16 October.
# ——— AND THE RE-SCOPED SWEEP WAS RUN, 20 September 2026. IT CLOSES ON A COVERAGE BOUND. ———
# The re-scoping said: drive the FILTER PANEL rather than the address bar, and search strings that
# are not ordinary English — the ship names above all. Both were done. The panel works.
*** WHY THE PANEL WORKED THIS TIME AND NOT BEFORE ***	THE BROWSER PANE HAD BEEN HIDDEN. A click cannot be delivered to a pane that is not compositing frames, so every earlier attempt to open a facet failed with the panel apparently inert. DISPLAYING THE PANE FIXED IT AT ONCE. The same hidden pane is what produced the Szubin padlock error an hour later — twice in one day, one cause.
what the filter panel actually is	A FACET OVER THE CURRENT RESULT SET, not an independent filter. Typing "Hertfordshire" into the county box when the results hold no Hertfordshire paper returns "0 matching publication counties" — which is an answer about the results, not a broken control.
THE SHIP, WHICH WAS THE BEST IDEA IN THE RE-SCOPING	keyword "Dunvegan Castle", 47,783 articles, faceted to HERTFORDSHIRE: ELEVEN. Their dates are 1890, 1897 x2, 1898, 1900, 1901 x2, 1902, and then 1982 x2 and 1986. Hemel Hempstead Gazette, Herts & Cambs Reporter, Herts Advertiser, Hertford Mercury. *** NOT ONE IN 1939. *** Mrs Louis Botha landing at Southampton in 1901, and coach tours to Skye in the 1980s.
*** AND THEN THE COVERAGE WAS CHECKED, WHICH SHOULD HAVE COME FIRST ***	the titles browse, filtered by PLACE OF PUBLICATION. LETCHWORTH HAS EXACTLY ONE DIGITISED TITLE: *** CITIZEN (LETCHWORTH), 1906-1917, 587 ISSUES. *** The Wears lived at 72 Pix Road and left in 1937 to 1939. THE TOWN'S ONLY DIGITISED PAPER STOPS TWENTY YEARS BEFORE THEY WENT.
and Hitchin is little better	HITCHIN HAS EXACTLY ONE: *** HERTFORDSHIRE EXPRESS, 1859~1956, 1,403 ISSUES. *** The tilde is Findmypast's mark for an incomplete run, and 1,403 issues across ninety-seven years is about fourteen a year for what was a weekly — a quarter-sampled run at best.
so priority 3 closes, and it closes properly	A DEPARTURE NOTICE FOR THIS FAMILY IS NOT FINDABLE IN THIS ARCHIVE, and the reason is not the search and not the surname. It is that the town's paper was never digitised for the years the family was leaving. THAT IS A COVERAGE BOUND AND IT IS THE END OF THE ROUTE, not a reason to search harder.
what would still work, for whoever wants it	the British Library holds the Citizen (Letchworth) beyond 1917 on microfilm, and Hertfordshire Archives and Local Studies at Hertford holds local runs. Both are reading-room work. NOT ORDERED, NOT ASKED FOR, and recorded only so the next person does not re-run the search that cannot succeed.
source, third block	Findmypast newspapers, 20 September 2026: keyword "Dunvegan Castle" faceted to Hertfordshire (11 results, dates read); titles browse filtered by place of publication for LETCHWORTH (1 title) and HITCHIN (1 title), coverage years and issue counts read from the title cards.
