# "DURCHSUCHBARES PDF DURCH OCR-TEXTERKENNUNG" IS NOT A SEARCHABLE INDEX.
# Measured at Kreuzberg, 22 September 2026, against Schöneberg as the control.
field	value
*** THE CLAIM UNDER TEST ***	all twelve Kreuzberg death indexes for 1983-1994 are labelled by the Landesarchiv "Durchsuchbares PDF durch OCR-Texterkennung". If that means what it says, Agnes Leibholz née Kerger can be looked for by text in seconds instead of by eye in days.
*** IT DOES NOT MEAN WHAT IT SAYS, AND THE CONTROL IS A FREQUENCY CONTROL ***	a name search that returns nothing proves nothing until you know the instrument returns the names that ARE there. So the same volumes were counted for the commonest German surnames. IN KREUZBERG 1983 — 211 pages, a whole year of a Berlin borough — the text layer holds SCHMIDT 6, MÜLLER 7, SCHULZ 26, LEHMANN 4, LANGE 1, KRAUSE 8, WOLF 3, AND BECKER ZERO. Becker cannot be absent from a year of Berlin deaths. The instrument is not reading the names.
*** AND THE PAGE IMAGE SETTLES IT IN ONE GLANCE ***	page 106 is the first page of M for 1983 and its January column alone carries FIVE MÜLLERS — Müller verw. Thomas, Müller geb. Rosin, Müller geb. Schmidt, Müller verh. Bertram, and Maaß either side of them. ONE PAGE OF ONE MONTH HAS NEARLY AS MANY MÜLLERS AS THE OCR FOUND IN THE WHOLE 211-PAGE YEAR. The registers are HANDWRITTEN; the OCR has caught the printed column headings, the month headings and the occasional legible word, and almost none of the names.
# ---------------- AND THE SAME TEST CLEARS TWENTY-FIVE PUBLISHED YEARS ----------------
*** SCHÖNEBERG 1970-1994 WAS CLOSED "BY TEXT LAYER" AND THAT CLOSURE IS SOUND ***	the same frequency control was run on Schöneberg. 1975: SCHMIDT 31, MÜLLER 29, SCHULZ 40, BECKER 7, WOLF 18, KRAUSE 13. 1988: SCHMIDT 29, MÜLLER 24, SCHULZ 30, BECKER 8, WOLF 19. FOUR TO FIVE TIMES KREUZBERG'S YIELD, on fewer pages. Those volumes are typed, or typed enough, and the OCR is reading them.
and the instrument is proved by a positive, not only by a control	the Schöneberg 1975 text layer returns exactly ONE match for Le[ip]h — and it is ERNA FRIDA ELSE LEIPHOLZ, Nr. 79, the find this archive already holds. AN INSTRUMENT THAT FOUND THE ONE THING THAT IS THERE IS AN INSTRUMENT WHOSE SILENCE MEANS SOMETHING.
so the rule, stated for the next session	THE OCR LABEL IS A PROPERTY OF THE SCAN, NOT OF THE HANDWRITING UNDERNEATH IT. Before trusting a text search on any Landesarchiv volume, count Schmidt, Müller, Schulz and Becker. If Becker is zero, read the block at the image and do not report a negative from the text.
# ---------------- KREUZBERG 1983, READ AT THE IMAGE ----------------
*** L / 1983 IS COMPLETE: pages 96 to 105, NO LEIBHOLZ, NO LEIPHOLZ, NO KERGER ***	BOUNDED AT BOTH ENDS — page 95 is the tail of K (Kramer, Kahl, Konietzky, Kutek, Kräuter, Köksal, Krüger, Kleiner), page 96 opens L under a red Januar heading at Nr. 33, and page 106 opens M under its own Januar heading (Maaß verw. Friedemann, Mandel, Mang, Müller verw. Thomas). ALL TWELVE MONTHS ARE PRESENT AND IN ORDER: Januar 96 · Februar 97 · März 98 · April 99 · Mai 100 · Juni and Juli 101 · August 102 · September 103 · Oktober and November 104 · Dezember 105.
what is in it instead	about 150 L surnames, and the nearest the year comes to the family is LIEBSCH verh. Zdauczynski, LIEBAU geb. Hörschlein, LIEBERT, LIEBE verw. Bischof and LEYSER geb. Draeger. No Leib- stem, no Leip- stem, no Kerger under any spelling.
and the double index runs here too	page 96 carries "Lachmann geb. Lipinski" and "Lipinski verh. Lachmann" on consecutive lines, both Nr. 4/83 — the same twice-filing that was proved in every Schöneberg volume, so the L block covers a Leibholz-born woman who married out.
# ---------------- WHAT REMAINS, AND WHAT IT COSTS ----------------
1984 to 1994 ARE NOT READ	eleven volumes. Each L block is about ten pages and each page needs two overlapping half-screenshots to stay legible at this pane size, so the job is roughly 220 reads. IT IS BOUNDED AND DULL AND IT IS THE ONLY HONEST ROUTE, because the text layer has now been measured and cannot carry it.
and the prior question is still open	Agnes was 91 in 1980 and left the Mehringdamm telephone book that year. A move into a home in another borough is at least as likely as a death in Kreuzberg, and a home means another office. READING ELEVEN MORE KREUZBERG VOLUMES TESTS ONE BRANCH OF THAT AND NOT THE OTHER.
source	Landesarchiv Berlin LABSA, P Rep. 510 Nr. 743 (Kreuzberg 1983) read at the image through pdf.js over HTTP range requests; text layers of P Rep. 510 Nr. 743 and P Rep. 163 Nr. 602 and 0628 counted in the browser. Nothing downloaded. 22 September 2026.
