# GÜNTHER LEIBHOLZ, SCHÖNEBERG STERBEREGISTER 1939 NR. 780 — THE FIRST HIT IN ELEVEN YEARS OF READING.
# Landesarchiv Berlin, P Rep. 163 Nr. 608, Namensverzeichnis zum Sterberegister, Standesamt
# Schöneberg 1939, page 86 of 175. Read at the image 21 September 2026.
field	value
# ---------------- THE ENTRY ----------------
*** WHAT THE LINE SAYS, IN ITS FOUR COLUMNS ***	FAMILIENNAME "Leibholz" · VORNAME "Günther" · REL. "ev." · NR. DES REGISTERS "780". The row above it is "Langer · toter Knabe · – · 767" and the row below is "Lüdicke geb. Schulz · Luise · ev. · 801".
how it was read	the surname was not legible at page scale. The page was re-rendered at SCALE 6 and cropped to the surname column alone, and at that magnification the Kurrent reads L-e-i-b-h-o-l-z without ambiguity. THE NEIGHBOURING NAMES WERE READ AT THE SAME MAGNIFICATION AS A CONTROL — "Langer" and "Lüdicke geb. Schulz" are equally clear, so the hand is legible and the reading is not being forced.
*** THIS IS THE ONLY LEIBHOLZ IN ELEVEN YEARS ***	1938, 1939, 1940, 1941, 1942, 1943, 1944, 1945, 1946, 1947 and 1948 have now been read page by page at the image. Roughly 3,300 names. THIS IS THE FIRST AND SO FAR THE ONLY ONE.
# ---------------- AND THE RELIGION COLUMN IS THE WHOLE PROBLEM ----------------
*** "ev." MEANS HE WAS NOT REGISTERED AS A JEW, AND IN 1939 THAT IS A FACT AND NOT AN OMISSION ***	from 1 JANUARY 1939 every Jew in Germany whose forename was not on the approved list was compelled by law to add ISRAEL or SARA, and this register applies that rule relentlessly — the same nine pages carry Lehmann Bernhard ISRAEL, Löffler Gustav ISRAEL, Litten Minna SARA, Lewin geb. Sellgmann Julia SARA, Lichtheim Berta Anna SARA, Levy Rosa SARA and dozens more, every one of them marked "mos." *** GÜNTHER LEIBHOLZ CARRIES NO ISRAEL AND IS MARKED EV. *** The register is saying, in the only way it can, that the state did not classify this person as Jewish.
what that does to the obvious hypothesis	IT DAMAGES IT. Jacob Leibholz of Schubin was Jewish — "mos." on his own 1924 marriage record — and his wife AUGUSTE was "kath.", Catholic. A child of that marriage would be registered Catholic or Jewish, NOT PROTESTANT. So Günther is not easily read as Jacob's son.
NOT KIN ON ANY EVIDENCE HELD	no document joins Günther Leibholz to Jacob, Samuel, Oskar, Kurt or anybody else in this archive. He is a Leibholz who died in the district where Jacob married, in the last year before the war, and that is the whole of it.
# ---------------- WHAT WOULD SETTLE IT, IN ORDER OF COST ----------------
*** free, and first — DONE 21 SEPTEMBER, AND THE ANSWER IS NO. ***	THE 1939 AND 1940 BERLINER ADRESSBUCH LEIBHOLZ BLOCKS HAVE NOW BEEN READ AT THE IMAGE, and there is NO GÜNTHER in either. 1939 (ZLB 34115495_1939, image 1719, foot of the rightmost column) holds ELEVEN Leibholz householders: Albert, Möbel, Halensee Westfälische Str 66 · C, Kaufm, N65 Afrikanische Str 37 · ELLA, Krankenschwest, Schöneberg Reppichstr 28 · Felix, Pensionär, NW40 Scharnhorststr 25 · FRITZ, kfm Angest, Schöneberg Geßlerstr 15 · Georg, Wäscherei, SO16 Michaelkirchstr 25 · Heinrich, Buchführ, Neukölln Leinestr 32 · Helmut, Bankbeamt, Schmargendf Dievenowstr 19 · JAQUES, Kaufm, Schöneberg Meraner Str 2 · Peter, Fabrikbes, Grunewald Joseph-Joachim-Str 35 · Wilhelm, Vertret, NO18 Weinstr 6. 1940 (image 1782, third column) holds TEN: A Israel · Adolf · AUGUSTE Wwe, Schöneberg Badensche Str 9 · Felix · FRITZ, Schöneberg Geßlerstr 15 · Heinrich · Helmut · Israel, Hüte, SW68 Kommandantenstr 29 · Wilhelm, Fleischermstr · Wilhelm, Vertret.
*** AND THE NEGATIVE IS BOUNDED, WHICH IS THE POINT ***	the entries inside a surname run are alphabetical by forename, so there is a precise place where Günther would have to be. IN 1939 THE RUN GOES GEORG THEN HEINRICH. IN 1940 IT GOES FRITZ THEN HEINRICH. Both times the alphabet steps straight over him with no gap, no dash-line and no blank. He is not missing because the page was hard to read; he is not there. WHAT THAT MEANS: Günther Leibholz was not a head of household in Berlin in either volume. A man who dies in Schöneberg in early 1939 and is in neither directory was A DEPENDENT — a child or a young man living at home, or a lodger, or in an institution — or he was not living in Berlin under his own roof at all. AND IF HE WAS A DEPENDENT IN A SCHÖNEBERG LEIBHOLZ HOUSEHOLD THERE ARE ONLY THREE ADDRESSES IT COULD HAVE BEEN: Ella at Reppichstr 28, Fritz at Geßlerstr 15, Jaques at Meraner Str 2. THAT IS A NARROWING AND NOT AN IDENTIFICATION — he may equally have died in a Schöneberg hospital while living elsewhere, since a death is registered where it happens.
*** AND THIS IS CORROBORATION, NOT DISCOVERY — SAY SO PLAINLY ***	data/berlin-adressbuch-names.tsv already read both blocks at the image on 20 September and its lists match these ENTRY FOR ENTRY, including Samuel listed as "Israel, Hüte" at Kommandantenstr 29 and Auguste as a widow at Badensche Str 9. An independent second reading agreeing line by line is worth having and is worth no more than that. ONE DIGIT WAS CHECKED AND THE ARCHIVE WAS RIGHT: Heinrich's street number read as 82 at page scale and is plainly 32 at magnification, which is what the file already said. ONE SMALL ODDITY RECORDED AND NOT EXPLAINED: ELLA is in 1938, 1939 and 1941 but NOT in 1940.
free, and second	the Berlin birth indexes are closed for 110 years, so a Günther born in the 1920s or 1930s is NOT reachable. THE MARRIAGE INDEXES ARE OPEN TO 1938 — a Leibholz marriage in Schöneberg or Charlottenburg naming a Protestant wife would explain an "ev." child.
and the certificate	Sterberegister Schöneberg 1939 Nr. 780 carries the age or birth date, the address, the parents if a minor, and the informant. IT IS A PURCHASE AND IT IS NOT MINE. It is the single cheapest document in this archive's whole backlog that could turn a name into a person.
# ---------------- THE TWO YEARS THIS CAME OUT OF ----------------
1938 — CLEAN	P Rep. 163 Nr. 607, pages 37 to 39. Page 37 opens L at Nr. 35, page 39 closes it at Nr. 1681 with one tail entry (3/1939) and then blank ruled lines. 37: 35-880 · 38: 888-1431 · 39: 1459-1681. NO LEIBHOLZ AND NO LEIPHOLZ.
1939 — ONE HIT AND NOTHING ELSE	P Rep. 163 Nr. 608, pages 85 to 93. Page 84 closes K; page 85 opens L at Nr. 3; page 93 closes the letter at Nr. 3877 with three tail entries and blank lines. 85: 3-534 · 86: 541-954 · 87: 1023-1495 · 88: 1511-2027 · 89: 2051-2500 · 90: 2502-2957 · 91: 2973-3334 · 92: 3369-3661 · 93: 3672-3877. THE ONLY HIT IS NR. 780.
