volume	what
*** WHY THIS FILE EXISTS ***	Row 257 lists three tests for whether GÜNTHER LEIBHOLZ — Schöneberg Sterberegister 1939 Nr. 780, entered "ev." and without the compulsory "Israel" — belongs to this family. It calls test (2), the Berlin marriage indexes, FREE. It is free of money. IT IS NOT CHEAP, and this file measures what it actually costs before anybody starts it.
THE INVENTORY, WHICH NOBODY HAD	Every marriage name-index Schöneberg has, from LABSA, 22 September 2026. TWENTY-ONE VOLUMES ACROSS THREE OFFICES, COVERING 1874 TO 1943 WITHOUT A GAP. Schöneberg I is P Rep. 160, Schöneberg II is P Rep. 161, and the merged Standesamt Schöneberg from 1938 is P Rep. 163. The archive had previously named only two of the twenty-one.
P Rep. 160 — Standesamt Schöneberg I	Nr. 1029 (1874-1898, 208.10M) · 1030 (1899-1902, 193.52M) · 1031 (1903-1905, 208.23M) · 1032 (1906-1907, 168.22M) · 1033 (1908-1909, 162.43M) · 1034 (1910-1914, 274.20M) · 1035 (1915-1921, 272.88M) · 1036 (1922-1927, 240.41M) · 1049 (1928-1930, 176.13M) · 1107 (1931-1938, 188.28M). TEN VOLUMES.
P Rep. 161 — Standesamt Schöneberg II	Nr. 268 (1911-1913, 138.43M) · 269 (1914-1919, 294.09M) · 270 (1920-1923, 263.09M) · 271 (1924-1928, 249.27M) · 515 (1929-1930, 151.63M) · 530 (1931-1938, 205.64M) · 620 (1936-1938, 39.98M). SEVEN VOLUMES. Schöneberg II begins in 1911; before that there is only Schöneberg I.
P Rep. 163 — Standesamt Schöneberg (merged)	Nr. 797 (1938-1939, Männer, 77.80M) · 798 (1938-1939, Frauen, 86.24M) · 1064 (1940-1941, 278.00M) · 1377 (1942-1943, 70.18M). FOUR VOLUMES, and note that 1938-39 is SPLIT BY SEX into two separate books — the only place in the run where that happens, and a trap for anybody who reads one and thinks they have read the year.
# ---------------- THE STRUCTURE, MEASURED ON P REP. 161 NR. 270 ----------------
ONE ALPHABET, WITH THE YEARS NESTED INSIDE EACH LETTER	518 pages for four years, 1920-1923. It is NOT four annual indexes bound together. There is one alphabet down the whole volume with card tabs on the fore-edge, and inside each letter the years run in sequence, each under its own handwritten year heading. Page 256 is headed 1920 and page 268 is headed 1922, both in L. THIS IS THE SAME SHAPE THE SCHÖNEBERG DEATH INDEXES TURNED OUT TO HAVE FOR 1949-51, and it is the reason a reader cannot open a volume at the year they want.
*** AND WITHIN A LETTER THE ENTRIES ARE IN REGISTRATION ORDER, NOT ALPHABETICAL ***	THIS IS THE FINDING THAT SETS THE COST. Page 60 of the C block reads Collmann · Cohn · Cohn · Cieslik · Centauer · Cohn · Conrad. Page 256 of the L block reads Lintow · Lungwitz · Liebermann · Landois · Loewenthal · Lehmann. The first letter is sorted and NOTHING ELSE IS — the clerk added each marriage to the letter's page as it was registered. SO THERE IS NO WAY TO SKIP TO "LEI". EVERY PAGE OF EVERY L BLOCK HAS TO BE READ.
where L sits in Nr. 270	K ends around page 245 (Kujawski, Kochsiek, Koch, Kehner). L runs from about page 248 to about page 290 — 1920 at p256, 1922 at p268, 1923's La names at p276 — and M begins by page 292 (Mühlenschulte, Moench, Möller). ABOUT FORTY-TWO PAGES OF L FOR FOUR YEARS.
# ---------------- WHAT IT COSTS, AND THE ROW SHOULD SAY SO ----------------
THE MEASUREMENT	These are handwritten Kurrent entries and they have to be magnified to be read at all. A crop of the two surname columns at x 0.05-0.62 renders at scale 2.64 and is perfectly legible — but 2,071 pixels tall against a 600-pixel viewport, so ONE PAGE IS THREE READS. Any scale that fits a whole page in the viewport is about 0.77, which is unreadable.
*** THE ARITHMETIC ***	Forty-two L pages per four-year volume, three reads each, is about 125 READS PER VOLUME. Sixteen volumes cover 1899-1938, which is the span in which a man who died in Schöneberg in 1939 could have had parents marry. THAT IS ROUGHLY TWO THOUSAND READS. For comparison, the eleven unread Kreuzberg death volumes were costed at about 220 and are still outstanding as row 253. THIS IS NEARLY TEN TIMES THAT JOB.
SO THE ROW'S WORD "FREE" IS DOING TOO MUCH WORK	Test (2) costs nothing in money and needs no account, and that is all "free" means here. It is the largest single reading job anybody has costed for this archive. IT SHOULD NOT BE STARTED AHEAD OF THE CERTIFICATE. Schöneberg 1939 Nr. 780 is one document, carries Günther's age, address, parents if he was a minor, and the informant, and would settle in one page what two thousand reads might not settle at all — because the marriage index gives a surname and a register number and nothing about a son.
AND THE PRIOR QUESTION NOBODY HAS ASKED	The whole route assumes Günther's parents married IN SCHÖNEBERG. Nothing says they did. He died there; the family need not have married there, and Berlin had well over a hundred registry offices. IF THE SCHÖNEBERG SWEEP CAME BACK EMPTY IT WOULD PROVE ALMOST NOTHING, which is the strongest argument of all for buying the certificate first.
source	Landesarchiv Berlin, content.landesarchiv-berlin.de/labsa, office queries on "Standesamt Schöneberg I", "Standesamt Schöneberg II" and "Standesamt Schöneberg" with the heirats flag, 22 September 2026. Structure and cost measured at the image on P Rep. 161 Nr. 270 through pdf.js over HTTP range requests; nothing downloaded.
