# TWENTY THINGS THIS ARCHIVE CAN DO WITHOUT DAVID — written 21 September 2026 at his request.
#
# THE CONSTRAINT IS THE POINT. No letters sent, nothing bought, no account created, no consent
# ticked, nobody contacted. Everything below can be done from here with instruments already proven
# to work, and every one of them is checked against the bounded negatives so that nothing already
# closed is proposed again.
#
# THE SHAPE OF WHAT IS OPEN. Three days of work have left four live seams: THE BERLIN REGISTRY
# INDEXES, which have now produced two exact citations and are barely touched; THE POMERANIAN
# CLUSTER, which turned out to be where this surname actually comes from; THE EIGHTH SPELLING,
# which is still invalidating negatives recorded under the first seven; and THIS ARCHIVE'S OWN
# BACK CATALOGUE, which was written before several of the methods that now exist.
rank	item
# ================= A. THE BERLIN REGISTRY INDEXES — THE BEST INSTRUMENT HERE =================
1	*** BUILD THE ADDRESS-TO-REGISTRY-OFFICE MAP FOR EVERY ADDRESS THE ARCHIVE HOLDS. *** The Berliner Adressbuch's Straßenverzeichnis has a column headed STANDESAMT and it is how Kurt's birth office was found. This archive holds perhaps thirty Berlin addresses — Meraner Str. 2, Levetzowstr. 13, Michaelkirchstr. 26, Kommandantenstr. 29, Waghäuseler Str. 9/10, Weinstr. 6, Treuchtlinger Str. 4, Leinestr. 32, Mehringdamm 109, Willmanndamm, Egellsstr. 16, Chodowieckistr. 32, Lutherstr. 34 and the rest — AND HAS NEVER RUN ONE OF THEM THROUGH THAT COLUMN. One afternoon turns a list of streets into a list of registry offices, and every future certificate request becomes exact instead of approximate. IT IS THE HIGHEST-LEVERAGE THING ON THIS LIST because everything else in section A depends on it.
2	*** THE SCHÖNEBERG DEATH INDEXES RUN YEAR BY YEAR TO 1994. *** Deaths leave the protection period after thirty years, which is why these are online when the births are not. Four Leibholz women disappear from this archive's story with no death recorded: ELLA, Krankenschwester, Willmanndamm, Schöneberg, in the books to 1970 · CHARLOTTE, Hasenheide, 1957 to 1967 · AGNES née KERGER, Mehringdamm 109, to 1976 · ERNA, Spandau, 1980. THREE OF THOSE ADDRESSES ARE IN OFFICES WHOSE DEATH INDEXES ARE ONLINE. A death entry gives the date, the address, the informant and often the maiden name and birthplace.
3	AND THE SAME FOR THE TWO LUWINSKI MEN THE POST-WAR BOOKS FOUND. JOACHIM the Ofensetzer of Ramlerstraße 15 in Wedding, and the SECOND KURT, the post office worker, who the family tree says died in 1995. Wedding's death indexes and the Groß-Standesamt volumes cover those years. IT WOULD SETTLE WHETHER EITHER IS KIN — a death entry names a spouse and an age, and an age gives a birth year to test against the tree.
4	THE 1924 MARRIAGE'S NEIGHBOURS. The marriage index gave Nr. 6 of Schöneberg II for 1924 and the archive stopped there. The SAME VOLUME covers 1924 to 1928 and the office's other volumes run 1911 to 1938. Every Leibholz and Luwinski marriage in Schöneberg across twenty-seven years is three or four page-turns away, and A MARRIAGE ENTRY NAMES BOTH SETS OF PARENTS, which is the thing this archive is short of.
5	THE CHARLOTTENBURG OFFICES, now that Lutherstraße is placed there. Which of I to IV served number 34, then that office's marriage and death indexes for LEIBHOLZ and LEIPHOLZ. JACOB WAS THERE IN 1913, ELEVEN YEARS BEFORE HE MARRIED AUGUSTE, and this archive has never had a document about him from before 1938 except a directory line.
# ================= B. THE FIFTY, AND THE CLUSTER THEY COME FROM =================
6	*** OPEN THE OTHER FORTY-SIX GEDENKBUCH RECORDS. *** The name search returned fifty Leibholz and this archive has read four. Each of the other forty-six has its own page giving residence, deportation date, transport and destination, and many give a birthplace the summary list does not. FORTY-SIX PAGES IS AN EVENING. It would turn a birthplace tally into forty-six people with addresses, and Berlin addresses can be laid against the directory the way the Weinstraße household already was.
7	MAP THE POMERANIAN CLUSTER PROPERLY. Hammerstein 5, Karwen 5, Glowitz 6, Schlochau 3, Bärwalde 2, Preußisch Friedland 2, Tempelburg 2, plus Zettin, Dammen, Loosen and Neustettin. PUT THEM ON THE ATLAS AND SEE WHETHER THEY MAKE ONE PARISH OR SIX. Sally Leibholz was born at Hammerstein; if the cluster is tight enough to be one community, our family is part of it and the Schubin move is the anomaly to explain.
8	MAPPING THE LIVES BY BIRTHPLACE RATHER THAN BY SURNAME. The database takes a place of birth. Searching SCHLOCHAU, HAMMERSTEIN, KARWEN and GLOWITZ without a surname would give every persecuted Berliner born in those villages — the community the Leibholzes travelled with, and the names that keep appearing beside them.
9	THE ROSENBERGS OF SCHLOCHAU. Isidor and Cecillie, parents of Jenny Leipholz, from a nephew's Page of Testimony. Yad Vashem indexes SUBMITTERS as well as victims: searching Khanan Rosenberg Varadi as submitter would give every page he filed, and a man who filled in two filled in more. THAT IS HIS OWN GENERATION OF THE FAMILY, written out by hand.
10	SZUKAJWARCHIWACH FOR CZARNE AND CZŁUCHÓW, now the portlet may be back. Koszalin's letter said it holds no Standesamt Hammerstein registers for 1874-1899 and no synagogue books at all — BUT THE PORTAL SHOWED 127 UNITS UNDER "STANDESAMT HAMMERSTEIN" AT KOSZALIN-SŁUPSK, each with a scan count. Those two statements are in tension and this archive has never resolved it. The units may be 1900-1945, which would still reach Georg.
# ================= C. THE EIGHTH SPELLING IS NOT FINISHED =================
11	*** RE-RUN EVERY BOUNDED NEGATIVE THAT PREDATES LEIPHOLZ. *** Thirty-two negatives are recorded on this site and most were searched under LEIBHOLZ alone. Three institutions have now been shown to write the same murdered person both ways. EVERY ONE OF THOSE THIRTY-TWO IS PROVISIONAL and the honest thing is to say which, then re-run the ones where the eighth spelling could reach.
12	LEIPHOLZ AT THE INSTRUMENTS IT HAS NOT MET: szukajwarchiwach, FamilySearch's full-text search, The National Archives' Discovery, and the post-war Berlin directories, which were swept for LUWINSKI and LEIBHOLZ and not for this.
13	AND THE SAME DISCIPLINE ON THE OTHER SURNAMES. THIMM, SCHMUL, PERL, NETTER, ROSENBERG and LEIBKE have each been searched in one shape. Geneteka's own variant lists and the Gedenkbuch's synonym matching would say what the other shapes are, and the archive has never asked.
# ================= D. AUSTRALIA, WITHOUT A SUBSCRIPTION =================
14	THE VICTORIAN INDEX FOR THE ANCHISES CHILD. NAA MP56/10 says "LEIBHOLZ Tilde AND CHILD" and does not name them. The child was born in Germany so has no Victorian birth — BUT A MARRIAGE OR A DEATH WOULD BE THERE, and the index is free, wildcarded and already proven. The same for NSW and South Australia, whose historical indexes are also free.
15	THE NAA's OTHER SERIES. The Marquardt sweep read A2478 and A2571 titles only. A12508 PASSENGER STATEMENTS and D4881 ALIEN REGISTRATION give addresses, and an address is the one thing that would pick H. Marquardt of Hackett out of thirty-one candidates. Some of those items are OPEN and their titles already carry ship, date and sometimes street.
# ================= E. SOUTH AFRICA AND THE ENGLISH SIDE =================
16	EGGSA AND THE GRAVESTONE PHOTOGRAPHS. The Genealogical Society of South Africa's free gravestone project covers Westpark, where Kurt lies in block L grave 211 and Pauline twenty-six years later. A PHOTOGRAPHED STONE CARRIES WHAT THE BURIAL REGISTER DOES NOT — a Hebrew patronymic, a date, sometimes a birthplace. The archive has the Chevrah Kadisha entries and has never looked for the stones.
17	THE JOHANNESBURG GAZETTE SWEEP, WIDENED. Gazettes.africa gave the hat shop and Pauline's dress centre off the surname alone. It has never been searched for the ADDRESSES — 81 Eloff Street, 18 Wanderers Street — which would give every business at those doors and every notice that named them.
18	THE ENGLISH SIDE HAS ONE UNTESTED FREE INSTRUMENT LEFT. FreeBMD indexes the GRO registers and is free, and this archive's English negatives were mostly built on FamilySearch and Findmypast. The Wear and Castle events of Hitchin and Letchworth are exactly what FreeBMD covers best, and a GRO index line gives the registration district and quarter that a certificate request needs.
# ================= F. THE ARCHIVE'S OWN BACK CATALOGUE =================
19	*** AUDIT EVERY ATLAS PIN. *** One was found fifty kilometres out yesterday, and it was found by accident while testing an unrelated distance. THERE ARE SIXTEEN PINS AND FIFTEEN HAVE NEVER BEEN CHECKED against a gazetteer. The same afternoon should check every DATE this archive has converted, every DISTANCE it has stated and every "about" it has printed.
20	RE-READ THE OLDEST FINDINGS WITH THE NEWEST METHODS. The first week's work was done before the IIIF page-image reading, before the Solr recipe, before the street index, before the eighth spelling and before the rule that a negative needs a positive control. SOME OF IT WILL NOT SURVIVE. The 1909 Adressbuch mirage and the 1969 estate notice were both caught that way, and neither was found by looking for errors — they were found by going back over settled ground with a better instrument.
# ---------------- WHAT IS DELIBERATELY NOT ON THIS LIST ----------------
the letters	nine are drafted and unsent and one is a Gmail draft on an open thread. THEY ARE THE HIGHEST-VALUE ITEMS IN THE WHOLE ARCHIVE and not one of them is mine.
the purchases	the Queensland and Victorian death certificates, the Landesarchiv reproductions, an Ancestry subscription for the electoral rolls, Big Y-700. All would answer something; none is mine to buy.
Trove	it needs an API key and a key needs an account. Two minutes of David's time, and not this archive's to spend.
source	written 21 September 2026 against site/src/data/worklist.json, site/src/data/negatives.json and the instruments proven in the preceding three days. Every item was checked against the bounded negatives before it was written down.
