# THE JOHANNESBURG CEMETERY FILMS — a 210-film map nobody here had. 20 September 2026.
#
# This archive has twice reached West Park register pages by "opening images by hand" and has never
# written down WHICH FILM. That means every grave question starts from nothing. It does not any more.
field	value
the catalogue record	FamilySearch olib:4148464, "South Africa, Johannesburg City Cemetery records" — TWO HUNDRED AND TEN FILMS. It sits behind the indexed collection 4453927 and does not appear in a record search.
how the films are labelled	by cemetery and register type and year range, e.g. "Cemetery registers, WPC Private Graves Registers 1963 - 1970". WPC and WCP are both used for West Park Cemetery; the abbreviation is inconsistent in the catalogue itself.
THE TWELVE WEST PARK PRIVATE GRAVES FILMS	107638618 = 1942-1954 · 107638607 = 1954-1963 · 107638608 = 1963-1970 · 107638619 = 1970-1975 · 107638609 = 1975-1978 · 107638610 = 1978-1980 · 107638611 = 1980 · 107638612 = 1982-1984 · 107638674 = 1984-1986 · 107638675 = 1987 · 107638676 = 1988-1990 · 107638673 = 1997-2020
THE FILM THIS ARCHIVE HAS BEEN READING WITHOUT NAMING	*** 107638608, "WPC PRIVATE GRAVES REGISTERS 1963 - 1970", 488 IMAGES. *** Leonard bought grave 56045 on 13 SEPTEMBER 1969, so folio W 8 is in this film and nowhere else.
and its structure, read from the page	IT IS ALPHABETICAL BY PURCHASER SURNAME. Image 401 is the T section — Theunissen, Tyson, Terblanche, Tennyson, Taljaard, Tomlinson, Taylor, Tommasini, Theron, Thomas, Twogood, Turner. The printed form is numbered 14/6082 and the columns are NAME OF PURCHASER and ADDRESS.
so the folios can be found by arithmetic rather than by luck	T beginning at 401 of 488 puts the letters roughly where an English surname distribution predicts. THE F FOLIOS SHOULD SIT AROUND IMAGES 180 TO 200, AND THE W FOLIOS AROUND 440 TO 470.
WHAT ROW 60 STILL NEEDS	folio F 3/8, to see what grave it covers and whether the "Transf. P.Fol. F 3/8." in the Remarks column of burial folio W 56 belongs to Wear's row at all. IT WAS NOT READ TODAY. The FamilySearch image viewer kept reverting to its thumbnail grid and the hunt was abandoned rather than padded out.
why that is a fair trade	the transfer line may not even be Wear's — the archive has said from the start that the ruling puts it in row 4's cell but the page curves and it may belong to row 3. The film number and the alphabetical structure are worth more than one more hour of clicking, because they make every future West Park question cheap.
ONE THING WORTH KNOWING FOR ANY FUTURE GRAVE QUESTION	the other 198 films in olib:4148464 cover Braamfontein, Brixton, Randburg, Ferndale, Olifantsvlei and the West Park sections — burial registers, payment records, private graves and "DRM" and "DRC" series. A grave question in Johannesburg now starts with a film list instead of a search box.
source	FamilySearch catalogue item olib:4148464 and its 210 film notes; film 107638608 opened at images 151, 187 and 401, signed in. Read 20 September 2026.
